return_date,product_id,store_id,quantity
01-01-97,250,6,1
01-01-97,628,6,1
01-01-97,869,6,1
01-02-97,469,11,1
01-02-97,532,23,2
01-02-97,742,23,1
01-02-97,761,11,1
01-02-97,1396,11,1
01-03-97,1,7,1
01-03-97,365,7,2
01-03-97,385,7,1
01-03-97,671,7,1
01-03-97,1329,23,2
01-05-97,70,15,1
01-05-97,461,7,1
01-05-97,469,23,1
01-05-97,850,7,1
01-05-97,927,7,1
01-05-97,961,23,1
01-05-97,987,23,1
01-05-97,1117,23,1
01-05-97,1292,15,1
01-05-97,1458,23,1
01-06-97,23,24,1
01-06-97,40,24,2
01-06-97,43,6,1
01-06-97,85,24,1
01-06-97,193,24,1
01-06-97,464,3,1
01-06-97,918,3,1
01-06-97,1104,24,2
01-06-97,1296,3,1
01-07-97,310,13,1
01-07-97,418,13,1
01-07-97,599,13,1
01-07-97,638,13,1
01-07-97,1078,13,1
01-07-97,1152,13,2
01-07-97,1257,11,1
01-09-97,132,23,1
01-09-97,254,3,1
01-09-97,290,3,1
01-09-97,568,23,1
01-09-97,1081,3,2
01-09-97,1164,3,1
01-09-97,1230,3,1
01-09-97,1371,23,1
01-10-97,12,24,2
01-10-97,238,24,1
01-10-97,358,24,1
01-10-97,964,24,1
01-11-97,75,13,1
01-11-97,107,13,1
01-11-97,188,13,2
01-11-97,189,13,1
01-11-97,229,13,2
01-11-97,391,13,1
01-11-97,412,24,2
01-11-97,475,13,1
01-11-97,484,6,1
01-11-97,569,13,1
01-11-97,590,13,1
01-11-97,594,17,2
01-11-97,669,17,2
01-11-97,804,13,1
01-11-97,915,24,1
01-11-97,950,6,1
01-11-97,959,13,1
01-11-97,992,13,1
01-11-97,1046,13,1
01-11-97,1049,13,1
01-11-97,1063,13,1
01-11-97,1226,13,1
01-11-97,1319,13,1
01-11-97,1327,24,1
01-11-97,1393,13,1
01-11-97,1404,13,1
01-11-97,1445,13,1
01-12-97,361,7,1
01-12-97,726,7,1
1/13/1997,466,17,1
1/13/1997,551,17,1
1/13/1997,592,17,1
1/13/1997,895,17,1
1/13/1997,982,17,1
1/13/1997,1107,15,2
1/13/1997,1291,3,1
1/13/1997,1523,15,2
1/13/1997,1531,17,1
1/14/1997,439,6,1
1/14/1997,1098,6,2
1/15/1997,366,24,1
1/15/1997,603,24,1
1/15/1997,879,24,1
1/15/1997,1162,24,1
1/15/1997,1179,24,1
1/16/1997,391,17,1
1/16/1997,551,17,2
1/16/1997,760,17,2
1/16/1997,1043,17,1
1/16/1997,1398,17,1
1/16/1997,1439,17,1
1/17/1997,17,6,1
1/17/1997,176,11,1
1/17/1997,194,6,2
1/17/1997,320,24,1
1/17/1997,598,24,2
1/17/1997,865,24,1
1/17/1997,952,11,2
1/17/1997,954,24,2
1/17/1997,1004,11,1
1/17/1997,1271,24,1
1/18/1997,13,15,1
1/18/1997,139,15,1
1/18/1997,360,15,1
1/18/1997,537,15,1
1/19/1997,167,7,1
1/19/1997,434,16,1
1/19/1997,455,7,1
1/19/1997,497,7,1
1/19/1997,1051,16,1
1/19/1997,1337,7,1
1/19/1997,1463,7,1
1/19/1997,1496,16,2
1/19/1997,1542,7,1
1/20/1997,93,11,1
1/20/1997,100,13,1
1/20/1997,197,16,1
1/20/1997,271,13,1
1/20/1997,443,7,1
1/20/1997,563,16,1
1/20/1997,683,11,1
1/20/1997,784,13,1
1/20/1997,860,11,1
1/20/1997,894,7,1
1/20/1997,1038,11,1
1/20/1997,1045,16,2
1/20/1997,1053,16,1
1/20/1997,1212,11,1
1/20/1997,1218,13,1
1/20/1997,1220,13,1
1/20/1997,1355,16,1
1/20/1997,1357,13,2
1/20/1997,1402,13,1
1/20/1997,1556,16,1
1/21/1997,259,3,1
1/21/1997,360,16,1
1/21/1997,486,16,1
1/21/1997,520,3,2
1/21/1997,651,13,1
1/21/1997,851,13,1
1/21/1997,921,13,1
1/21/1997,952,13,1
1/21/1997,1169,3,1
1/21/1997,1452,16,1
1/21/1997,1481,3,2
1/23/1997,179,13,1
1/23/1997,328,13,1
1/23/1997,688,13,1
1/23/1997,1432,13,2
1/23/1997,1549,13,1
1/25/1997,222,15,1
1/25/1997,324,16,1
1/25/1997,358,23,1
1/25/1997,375,16,1
1/25/1997,810,15,1
1/25/1997,814,15,2
1/25/1997,990,23,1
1/25/1997,1147,3,2
1/25/1997,1295,15,2
1/26/1997,43,17,1
1/26/1997,603,17,1
1/26/1997,1013,17,1
1/26/1997,1185,17,1
1/26/1997,1273,17,2
1/26/1997,1397,17,1
1/26/1997,1428,17,1
1/27/1997,393,15,1
1/27/1997,530,15,1
1/27/1997,623,15,2
1/28/1997,231,11,1
1/29/1997,501,17,1
1/29/1997,755,17,1
1/29/1997,936,17,1
1/29/1997,1161,17,1
1/29/1997,1293,17,2
1/29/1997,1526,17,1
02-01-97,302,3,1
02-01-97,663,3,1
02-01-97,882,3,2
02-01-97,1440,3,1
02-02-97,637,15,1
02-02-97,921,16,1
02-02-97,1054,15,1
02-02-97,1442,15,2
02-02-97,1473,15,1
02-03-97,97,24,2
02-03-97,196,13,1
02-03-97,247,15,1
02-03-97,292,24,1
02-03-97,466,16,1
02-03-97,539,24,1
02-03-97,684,15,1
02-03-97,900,13,1
02-03-97,928,15,1
02-03-97,1067,13,1
02-03-97,1140,15,1
02-03-97,1190,24,1
02-03-97,1201,16,2
02-03-97,1351,13,1
02-03-97,1464,15,1
02-04-97,653,15,1
02-04-97,687,15,1
02-04-97,1244,15,1
02-04-97,1246,15,1
02-04-97,1275,15,2
02-05-97,210,11,2
02-05-97,283,11,1
02-05-97,389,11,1
02-05-97,642,11,1
02-05-97,789,11,1
02-05-97,907,24,1
02-05-97,1076,11,2
02-05-97,1168,6,1
02-07-97,71,23,1
02-07-97,260,24,1
02-07-97,408,24,1
02-07-97,528,6,1
02-07-97,709,24,1
02-07-97,1080,6,1
02-07-97,1447,6,1
02-08-97,175,13,1
02-08-97,479,13,1
02-10-97,249,17,1
02-10-97,972,17,1
02-10-97,1090,17,1
02-10-97,1502,17,1
02-11-97,28,23,1
02-11-97,91,11,2
02-11-97,555,23,1
02-11-97,625,11,1
02-11-97,668,11,1
02-11-97,1528,23,1
02-12-97,11,6,1
02-12-97,231,17,2
02-12-97,269,6,1
02-12-97,499,7,1
02-12-97,548,6,1
02-12-97,551,6,1
02-12-97,575,11,1
02-12-97,661,7,2
02-12-97,913,17,2
02-12-97,978,7,1
02-12-97,983,7,1
02-12-97,1430,11,1
02-12-97,1475,11,1
02-12-97,1549,6,1
2/13/1997,105,7,1
2/13/1997,327,7,2
2/13/1997,493,7,1
2/13/1997,881,7,1
2/13/1997,951,7,1
2/13/1997,1472,7,1
2/14/1997,53,3,2
2/14/1997,362,23,1
2/14/1997,526,6,1
2/14/1997,564,23,1
2/14/1997,648,6,1
2/14/1997,914,6,1
2/14/1997,964,3,1
2/14/1997,995,23,2
2/14/1997,1169,3,2
2/15/1997,370,15,2
2/15/1997,376,7,1
2/15/1997,386,3,1
2/15/1997,467,15,1
2/15/1997,482,3,1
2/15/1997,734,15,1
2/15/1997,799,3,2
2/15/1997,914,7,1
2/15/1997,927,7,1
2/15/1997,935,3,1
2/15/1997,1260,15,1
2/16/1997,815,24,1
2/16/1997,1142,24,1
2/16/1997,1405,24,1
2/16/1997,1414,24,1
2/17/1997,10,17,1
2/17/1997,174,17,2
2/17/1997,217,17,1
2/17/1997,417,17,1
2/17/1997,434,6,1
2/17/1997,507,17,1
2/17/1997,681,17,1
2/17/1997,712,3,1
2/17/1997,984,17,1
2/18/1997,142,16,1
2/18/1997,312,16,1
2/18/1997,335,16,1
2/18/1997,752,16,2
2/18/1997,899,23,1
2/18/1997,1449,16,1
2/19/1997,172,17,1
2/19/1997,181,17,1
2/19/1997,234,17,2
2/19/1997,349,15,1
2/19/1997,536,13,1
2/19/1997,985,17,1
2/19/1997,1088,15,1
2/19/1997,1106,13,1
2/19/1997,1347,13,1
2/19/1997,1376,13,1
2/20/1997,52,11,1
2/21/1997,122,3,1
2/21/1997,1329,3,1
2/22/1997,1164,13,1
2/22/1997,1252,13,1
2/23/1997,41,24,1
2/23/1997,881,24,1
2/23/1997,1464,24,2
2/25/1997,80,17,2
2/25/1997,105,17,1
2/25/1997,143,17,1
2/25/1997,258,17,2
2/25/1997,466,17,1
2/25/1997,512,7,1
2/25/1997,961,7,1
2/25/1997,1182,17,1
2/25/1997,1189,17,1
2/25/1997,1235,17,2
2/26/1997,132,13,1
2/26/1997,440,13,1
2/26/1997,460,16,2
2/26/1997,495,13,1
2/26/1997,557,16,1
2/26/1997,639,13,1
2/26/1997,852,16,1
2/26/1997,856,13,1
2/26/1997,883,13,1
2/26/1997,1019,16,1
2/26/1997,1103,16,2
2/26/1997,1216,16,2
2/26/1997,1281,13,1
2/27/1997,239,11,1
2/27/1997,495,11,1
2/27/1997,511,11,1
2/27/1997,799,16,1
2/27/1997,821,16,1
2/27/1997,894,16,1
2/27/1997,969,11,1
2/27/1997,1381,16,1
03-01-97,137,16,1
03-01-97,474,23,1
03-01-97,750,16,1
03-02-97,650,13,1
03-02-97,778,13,1
03-02-97,1128,13,1
03-02-97,1137,13,2
03-02-97,1220,7,2
03-02-97,1406,13,2
03-02-97,1437,7,1
03-02-97,1453,7,1
03-03-97,344,24,1
